대분류,소분류,브랜드명,,,,,
맛집,한식,국대떡볶이,,,,,
맛집,한식,놀부보쌈,,,,,
맛집,한식,더통큰구이,,,,,
맛집,한식,명인만두,,,,,
맛집,한식,바르다김선생,,,,,
맛집,한식,본죽,,,,,
맛집,한식,스쿨푸드,,,,,
맛집,한식,원할머니보쌈,,,,,
맛집,한식,조마루감자탕,,,,,
맛집,한식,하남돼지집,,,,,
맛집,한식,이차돌,,,,,
맛집,한식,죠스떡볶이,,,,,
맛집,한식,채선당,,,,,
맛집,일식,겐로쿠우동,,,,,
맛집,일식,마루가메제면,,,,,
맛집,일식,사보텐,,,,,
맛집,일식,아비꼬,,,,,
맛집,일식,아오리라멘,,,,,
맛집,일식,코코이찌방야,,,,,
맛집,쌀국수,에머이,,,,,
맛집,쌀국수,포메인,,,,,
맛집,쌀국수,포베이,,,,,
맛집,쌀국수,포호아,,,,,
맛집,치킨,교촌치킨,,,,,
맛집,치킨,굽네치킨,,,,,
맛집,치킨,깐부치킨,,,,,
맛집,치킨,네네치킨,,,,,
맛집,치킨,노랑통닭,,,,,
맛집,치킨,둘둘치킨,,,,,
맛집,치킨,또래오래,,,,,
맛집,치킨,보드람치킨,,,,,
맛집,치킨,오븐에빠진닭,,,,,
맛집,치킨,치킨매니아,,,,,
맛집,치킨,호식이두마리치킨,,,,,
맛집,치킨,호치킨,,,,,
맛집,치킨,BBQ,,,,,
맛집,치킨,BHC,,,,,
맛집,치킨,KFC,,,,,
맛집,피자,도미노피자,,,,,
맛집,피자,미스터피자,,,,,
맛집,피자,피자알볼로,,,,,
맛집,피자,피자에땅,,,,,
맛집,피자,피자헛,,,,,
맛집,햄버거,롯데리아,,,,,
맛집,햄버거,맘스터치,,,,,
맛집,햄버거,맥도날드,,,,,
맛집,햄버거,버거킹,,,,,
맛집,햄버거,크라제버거,,,,,
맛집,햄버거,파파이스,,,,,
맛집,햄버거,파파존스,,,,,
맛집,햄버거,KFC,,,,,
카페,카페,12h Dutch Coffee,,,,,
카페,카페,고디바,,,,,
카페,카페,공차,,,,,
카페,카페,다빈치커피,,,,,
카페,카페,디초콜릿커피,,,,,
카페,카페,띠아모,,,,,
카페,카페,라떼야커피,,,,,
카페,카페,마노핀,,,,,
카페,카페,망고식스,,,,,
카페,카페,빈스빈스,,,,,
카페,카페,빌리엔젤,,,,,
카페,카페,빽다방,,,,,
카페,카페,세븐몽키스,,,,,
카페,카페,스타벅스,,,,,
카페,카페,아리스타커피,,,,,
카페,카페,아티제,,,,,
카페,카페,압구정볶는커피,,,,,
카페,카페,앤하우스,,,,,
카페,카페,엔제리너스,,,,,
카페,카페,오가닉라운지,,,,,
카페,카페,오가다,,,,,
카페,카페,와플반트,,,,,
카페,카페,워너커피,,,,,
카페,카페,이디야,,,,,
카페,카페,자바씨티,,,,,
카페,카페,카페7그램,,,,,
카페,카페,카페네스카페,,,,,
카페,카페,카페드롭탑,,,,,
카페,카페,카페베네,,,,,
카페,카페,커피니,,,,,
카페,카페,커피베이,,,,,
카페,카페,커피빈,,,,,
카페,카페,커피에반하다,,,,,
